geo,text,user,user_location
,✈️BARCELONA IS BACK! We're delighted to announce flights to Barcelona are on sale now with @Ryanair from just £19.9… https://t.co/0GUSFlVuv5,NCLairport,"Newcastle upon Tyne, UK"
,Is this revenge for brexit. Today at Barcelona Airport. https://t.co/8TWOJp2h6f,LouVam,
,"RT @travelweekly: Read this week's edition: https://t.co/1jKj3iKft6

Industry leaders slam government following blame for cancellation chao…",ABTOT_UK,"London, England"
,KLM CANCELLED again! Were you on flight KL1675 on 7th June 2022 from Amsterdam Airport Schiphol to Barcelona Intern… https://t.co/rIkjXRHCJZ,ClaimDelay,"Manchester, England"
,Transavia claim received. Were you on flight HV5131 on 7th June 2022 from Amsterdam Airport Schiphol to Barcelona I… https://t.co/n7raeoEGep,ClaimDelay,"Manchester, England"
,Attention all KLM passengers. Were you on flight KL1676 on 7th June 2022 from Barcelona International Airport to Am… https://t.co/tv0fA0WJCn,ClaimDelay,"Manchester, England"
,New Transavia claim. Were you on flight HV5132 on 7th June 2022 from Barcelona International Airport to Amsterdam A… https://t.co/xALIXT1yVM,ClaimDelay,"Manchester, England"
,"𝑩𝒂𝒓𝒄𝒆𝒍𝒐𝒏𝒂, 𝑺𝒑𝒂𝒊𝒏.📍 
Dreaming of a summer holiday? 🌞 
Barcelona is known for its art and architecture and offers the… https://t.co/wxysZqt7GR",hbhstansted,"London, England"
,"Read this week's edition: https://t.co/1jKj3iKft6

Industry leaders slam government following blame for cancellatio… https://t.co/wAvr98TpWP",travelweekly,"Victoria, London."
,"Barcelona Girona to Cork airport. Straight forward trip, no Dublin airport queues and hassle. @Ryanair way to go wi… https://t.co/eaOc8Dbzt9",g_labbad,Dublin - Ireland
,Flight Number #BA484 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,"@josefbone devastating mate😂 what’s barcelona airport like? we’re travelling back tonight as well, no big queues?",ShandyGill,Port Sunlight
,easyJet Compensation Alert! Were you scheduled to be on flight U22268 from Barcelona International Airport to Londo… https://t.co/crh2eIyDI0,Flight_Patrol,
